Error Type,Faulty Code,Error Description,Corrected Code,Faulty Code Snippet,Type of Error
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,
Logical Error,"int x = 5;
 int y = x++ + x++;",Undefined behavior due to multiple post-increments,"int x = 5;
 int y = x + (x + 1); x += 2;",,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Logical Error,for(int i = 0; i <= 10; i++) { PORTB = 0xFF; },Loop runs one extra time due to `<=` instead of `<`,for(int i = 0; i < 10; i++) { PORTB = 0xFF; },,
Logical Error,"int add(int a, int b) { return a - b; }",Incorrect operation: subtraction instead of addition,"int add(int a, int b) { return a + b; }",,
Logical Error,"int x = 5;
 int y = x++ + x++;",Undefined behavior due to multiple post-increments,"int x = 5;
 int y = x + (x + 1); x += 2;",,
Logical Error,"int x = 5;
 int y = x++ + x++;",Undefined behavior due to multiple post-increments,"int x = 5;
 int y = x + (x + 1); x += 2;",,
Syntax Error,int x = 10 y = 20;,Missing semicolon between variable declarations,int x = 10; int y = 20;,,
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,
Logical Error,"int add(int a, int b) { return a - b; }",Incorrect operation: subtraction instead of addition,"int add(int a, int b) { return a + b; }",,
Logical Error,for(int i = 0; i <= 10; i++) { PORTB = 0xFF; },Loop runs one extra time due to `<=` instead of `<`,for(int i = 0; i < 10; i++) { PORTB = 0xFF; },,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Logical Error,for(int i = 0; i <= 10; i++) { PORTB = 0xFF; },Loop runs one extra time due to `<=` instead of `<`,for(int i = 0; i < 10; i++) { PORTB = 0xFF; },,
Syntax Error,int x = 10 y = 20;,Missing semicolon between variable declarations,int x = 10; int y = 20;,,
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,
Syntax Error,"void setup() 
 Serial.begin(9600);",Missing curly braces `{}` in setup(),"void setup() { 
 Serial.begin(9600); 
 }",,
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,
Logical Error,"int add(int a, int b) { return a - b; }",Incorrect operation: subtraction instead of addition,"int add(int a, int b) { return a + b; }",,
Logical Error,"int x = 5;
 int y = x++ + x++;",Undefined behavior due to multiple post-increments,"int x = 5;
 int y = x + (x + 1); x += 2;",,
Logical Error,"int x = 5;
 int y = x++ + x++;",Undefined behavior due to multiple post-increments,"int x = 5;
 int y = x + (x + 1); x += 2;",,
Syntax Error,"void setup() 
 Serial.begin(9600);",Missing curly braces `{}` in setup(),"void setup() { 
 Serial.begin(9600); 
 }",,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Logical Error,"int x = 5;
 int y = x++ + x++;",Undefined behavior due to multiple post-increments,"int x = 5;
 int y = x + (x + 1); x += 2;",,
Logical Error,for(int i = 0; i <= 10; i++) { PORTB = 0xFF; },Loop runs one extra time due to `<=` instead of `<`,for(int i = 0; i < 10; i++) { PORTB = 0xFF; },,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,
Syntax Error,int x = 10 y = 20;,Missing semicolon between variable declarations,int x = 10; int y = 20;,,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,
Logical Error,"int add(int a, int b) { return a - b; }",Incorrect operation: subtraction instead of addition,"int add(int a, int b) { return a + b; }",,
Syntax Error,int x = 10 y = 20;,Missing semicolon between variable declarations,int x = 10; int y = 20;,,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Logical Error,"int x = 5;
 int y = x++ + x++;",Undefined behavior due to multiple post-increments,"int x = 5;
 int y = x + (x + 1); x += 2;",,
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,
Syntax Error,"void setup() 
 Serial.begin(9600);",Missing curly braces `{}` in setup(),"void setup() { 
 Serial.begin(9600); 
 }",,
Logical Error,for(int i = 0; i <= 10; i++) { PORTB = 0xFF; },Loop runs one extra time due to `<=` instead of `<`,for(int i = 0; i < 10; i++) { PORTB = 0xFF; },,
Logical Error,"int x = 5;
 int y = x++ + x++;",Undefined behavior due to multiple post-increments,"int x = 5;
 int y = x + (x + 1); x += 2;",,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Syntax Error,"void setup() 
 Serial.begin(9600);",Missing curly braces `{}` in setup(),"void setup() { 
 Serial.begin(9600); 
 }",,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Logical Error,"int add(int a, int b) { return a - b; }",Incorrect operation: subtraction instead of addition,"int add(int a, int b) { return a + b; }",,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Logical Error,"int x = 5;
 int y = x++ + x++;",Undefined behavior due to multiple post-increments,"int x = 5;
 int y = x + (x + 1); x += 2;",,
Logical Error,for(int i = 0; i <= 10; i++) { PORTB = 0xFF; },Loop runs one extra time due to `<=` instead of `<`,for(int i = 0; i < 10; i++) { PORTB = 0xFF; },,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,
Syntax Error,"void setup() 
 Serial.begin(9600);",Missing curly braces `{}` in setup(),"void setup() { 
 Serial.begin(9600); 
 }",,
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,
Syntax Error,int x = 10 y = 20;,Missing semicolon between variable declarations,int x = 10; int y = 20;,,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Logical Error,"int add(int a, int b) { return a - b; }",Incorrect operation: subtraction instead of addition,"int add(int a, int b) { return a + b; }",,
Syntax Error,int x = 10 y = 20;,Missing semicolon between variable declarations,int x = 10; int y = 20;,,
Logical Error,"int add(int a, int b) { return a - b; }",Incorrect operation: subtraction instead of addition,"int add(int a, int b) { return a + b; }",,
Logical Error,"int x = 5;
 int y = x++ + x++;",Undefined behavior due to multiple post-increments,"int x = 5;
 int y = x + (x + 1); x += 2;",,
Logical Error,for(int i = 0; i <= 10; i++) { PORTB = 0xFF; },Loop runs one extra time due to `<=` instead of `<`,for(int i = 0; i < 10; i++) { PORTB = 0xFF; },,
Logical Error,for(int i = 0; i <= 10; i++) { PORTB = 0xFF; },Loop runs one extra time due to `<=` instead of `<`,for(int i = 0; i < 10; i++) { PORTB = 0xFF; },,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,
Syntax Error,int x = 10 y = 20;,Missing semicolon between variable declarations,int x = 10; int y = 20;,,
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,
Syntax Error,"void setup() 
 Serial.begin(9600);",Missing curly braces `{}` in setup(),"void setup() { 
 Serial.begin(9600); 
 }",,
Logical Error,"int add(int a, int b) { return a - b; }",Incorrect operation: subtraction instead of addition,"int add(int a, int b) { return a + b; }",,
Logical Error,"int add(int a, int b) { return a - b; }",Incorrect operation: subtraction instead of addition,"int add(int a, int b) { return a + b; }",,
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,
Syntax Error,"int main() {
 DDRB = 0xFF 
 PORTB = 0x01;
 }",Missing semicolon after DDRB = 0xFF,"int main() {
 DDRB = 0xFF; 
 PORTB = 0x01;
 }",,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Logical Error,for(int i = 0; i <= 10; i++) { PORTB = 0xFF; },Loop runs one extra time due to `<=` instead of `<`,for(int i = 0; i < 10; i++) { PORTB = 0xFF; },,
Syntax Error,"void setup() 
 Serial.begin(9600);",Missing curly braces `{}` in setup(),"void setup() { 
 Serial.begin(9600); 
 }",,
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,
Logical Error,"int x = 5;
 int y = x++ + x++;",Undefined behavior due to multiple post-increments,"int x = 5;
 int y = x + (x + 1); x += 2;",,
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,
Syntax Error,int x = 10 y = 20;,Missing semicolon between variable declarations,int x = 10; int y = 20;,,
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,
Logical Error,while(1) { PORTB = 0xFF; },"Infinite loop, never exits",Use a condition to break the loop when necessary,,
Logical Error,"if(PORTB = 1) { Serial.println(""ON""); }",Assignment `=` used instead of comparison `==`,"if(PORTB == 1) { Serial.println(""ON""); }",,
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,
Syntax Error,"void loop(
 Serial.println(""Hello"");
 }","Incorrect function declaration, missing `)`","void loop() {
 Serial.println(""Hello"");
 }",,
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,
Syntax Error,"void blink_led() { pinMode(13, OUTPUT) digitalWrite(13, HIGH); }",Missing semicolon after pinMode(),"void blink_led() { pinMode(13, OUTPUT); digitalWrite(13, HIGH); }",,
